Steve_Bushell,Blackpool_F.C.
A.D._Municipal_Liberia__Argenis_Fernández__1,A.D._Municipal_Liberia
Marco_Gbarssin,Carlisle_United_F.C.
Whitletts_Victoria_F.C.__Tony_Balfour__1,Whitletts_Victoria_F.C.
Joël_Tchami,Al-Salmiya_SC
Salim_Kerkar,Charlton_Athletic_F.C.
Claudio_Holenstein,FC_Wacker_Innsbruck_(2002)
Lee_Kendall,Rhyl_F.C.
"John_Curtis_(footballer,_born_1978)",Preston_North_End_F.C.
FC_Zaria_Bălți__Igor_Bugaiov__1,FC_Zaria_Bălți
Billy_Butler_(footballer),England_national_football_team
Balázs_Rabóczki,IFK_Norrköping
Martin_Grönberg,Leksands_IF
Claus_Thomsen,Denmark_national_under-19_football_team
Karl-Heinz_Emig,1._FC_Kaiserslautern
Aleksei_Vasilyev_(footballer),PFC_CSKA_Moscow
Frankie_Sutherland,Portsmouth_F.C.
Brian_Carpenter_(American_football),Washington_Redskins
Joost_Volmer,VVV-Venlo
Maksim_Volkov,FC_Sakhalin_Yuzhno-Sakhalinsk
José_Jefferson_Rodrigues_de_Oliveira,Fortaleza_Esporte_Clube
Associação_Desportiva_São_Caetano__Wesley__1,Associação_Desportiva_São_Caetano
Samut_Songkhram_R-Airlines_F.C.__Chalermsuk_Kaewsuktae__1,Samut_Songkhram_R-Airlines_F.C.
Kim_Chang-soo,Ulsan_Hyundai_FC
Charles_Bunyan_Sr.,Derby_County_F.C.
Iván_Moreno_y_Fabianesi,Villarreal_CF
Miloš_Gibala,Slovakia_national_under-17_football_team
John_McStay,Ayr_United_F.C.
Krzysztof_Kotorowski,Dyskobolia_Grodzisk_Wielkopolski
Cerezo_Osaka_U-23__Sota_Nakazawa__1,Cerezo_Osaka_U-23
Franck_Signorino,FC_Nantes
Étoile_Fréjus_Saint-Raphaël__Moyadh_Ousseni__1,Étoile_Fréjus_Saint-Raphaël
Nikos_Karageorgiou,Panathinaikos_F.C.
Fredrik_Gulsvik,Vormsund_IL
Alan_Liebeskind,Caracas_FC
Gary_Assous,Paris_Saint-Germain_F.C.
Legends_FC__Jamie_Lovegrove__1,Legends_FC
Richard_Isberner,New_Orleans_Jesters
Emir_Faccioli,Club_Atlético_Colón
Club_Xelajú_MC__Esau_Estrada__1,Club_Xelajú_MC
Wyn_Davies,Cape_Town_City_F.C._(NFL)
Graham_Baker_(footballer),Manchester_City_F.C.
Cheyna_Williams,Washington_Spirit
Mo_Hamdaoui,Haarlem_Kennemerland
Jörgen_Sundqvist_(ice_hockey),Brynäs_IF
Tommy_Horsfall,Cambridge_United_F.C.
Les_Miller_(footballer),Chesterfield_F.C.
Oscar_Sturgis,Carolina_Panthers
ASO_Chlef__Abdelkader_Salhi__1,ASO_Chlef
Zakaria_Abahassine,RoPS
George_Henson,Swansea_City_A.F.C.
Ildefons_Lima,FC_Andorra
Hiroyuki_Ishida,Sagan_Tosu
David_Rodman,HDD_Jesenice
Mario_Haas,SK_Sturm_Graz
Cyril_Chapuis,Chamois_Niortais_F.C.
Oman_national_beach_soccer_team__Juma_Al_Wahaibi__1,Oman_national_beach_soccer_team
Ian_Goodison,Tranmere_Rovers_F.C.
Amissah_Assan,Abu_Qair_Semad
Liam_Hearn,Barrow_A.F.C.
Antigua_GFC__Óscar_Isaula__1,Antigua_GFC
"Albert_Thompson_(footballer,_born_1912)",Bradford_Park_Avenue_A.F.C.
Krisztián_Vadócz,Perth_Glory_FC
Diego_Godín,Villarreal_CF
Kendal_Town_F.C.__Oliver_Wood__1,Kendal_Town_F.C.
Saimir_Malko,KF_Lushnja
Andreas_Voss_(footballer),Germany_national_football_B_team
FC_Dimitrovgrad__Tsvetomir_Matev__1,FC_Dimitrovgrad
Newport_Civil_Service_F.C.__Ryan_Smith__1,Newport_Civil_Service_F.C.
Craig_Allardyce,Macclesfield_Town_F.C.
Terengganu_FA__Hafizal_Mohamad__1,Terengganu_FA
Glenavon_F.C.__James_Singleton__1,Glenavon_F.C.
Chris_Devine,Arbroath_F.C.
Jason_Lee_(footballer),Peterborough_United_F.C.
Oleh_Dopilka,FC_Kryvbas_Kryvyi_Rih
Félix_Sesúmaga,Racing_de_Sama
Salvatore_Gambino,TuS_Koblenz
Marko_Zorić,FK_Partizan
Walter_Figueira,Acharnaikos_F.C.
